source_link;name;doc_type;dictionary_type;txt
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;net asset value
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;new york stock exchange
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;nikkei 225
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;nominal interest rate
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;nominal values
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;non executive director
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;occupational pension scheme
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;office for national statistics
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;office of fair trading 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;offshore account
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;old lady of threadneedle street
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;oligopoly
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;open market operations
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;operating profit
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;option
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ordinary residence
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ordinary share
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;organisation for economic cooperation and development
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;organisation of petroleum exporting countries 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;overdraft
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;pay as you earn 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;percentage change
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;permanent interest bearing shares 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;personal loan
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;poison pill
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;ponzi scheme
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;portfolio
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;pound
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;poverty trap
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;precipice bonds
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;preference shares
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;preliminary announcement 
https://www.theguardian.com/business/glossary-business-terms-a-z-jargon;theguardian;lexicon;business_language;premium bonds
